,source,target,sampled
1335,a man in black carrying a sheep on his shoulders,a man carrying a sheep on his shoulders, a man carrying a camel on his back
1336,two guys in an office walking towards the chalk board,2 young men in a room with a blackboard, 2 men walking a large wall
1337,a beach chair and umbrella sit for another day at the beach,a empty chair on the beach is under a parasol, a beach bench on the beach
1338,a plate filled with several types of decadent foods,a plate of food with some eggs potatoes bread and some other items on it, a plate of food with different different different sizes and different types of different sizes and other people
1339,a pepperoni pizza sitting on top of a white plate,the pizza is on a plate with a fork next to it, the plate is on a plate with a plate of food on it
1340,four zebra are standing next to each other in a field,four zebras stand together in a grassy plain, four bears stand together in a grassy field
1341,an elephant playing with a sack handing from a concrete structure,an elephant reaching for a ball hanging above it, an elephant reaching on a pile of rocks
1342,young girl lying on mattress with railing on three sides,a young girl lying in a convertible toddler crib, a young girl lying in a bed bed
1343,a group of zebra standing in the tall grass,a herd of zebra are grazing on tall dry grass, a flock of camels are standing around the grassy ground
1344,the woman is taking a photo of the white goose next to the river,a waterway under a bridge with people sitting down and a woman taking a photo, a lady with a ponytail holding her hand and walking in the snow
1345,a silver train sitting next to a forest next to a tall building,a white train is coming down some metal tracks, a red train is parked next to trees
1346,a view of a bathroom that is clean,a bathroom with a vanity toilet and shower, a window with a janitor and washing dishes
1347,a street sign for the street named crapo,a street sign intersection with a lush tree in the background, a street sign sign with an umbrella in the middle
1348,a little boy gets ready to hit the ball with his bat,a small boy with a bat and ball on some grass, a small boy with a ball on his head and an adult
1349,there is a banana split with whipped cream and a cherry,a banana split with spoons in a glass bowl, an aspirin added with a large knife
1350,is he going to saw somebody s arm off with that thing,the male doctor is holding a medical saw, one person wearing a hat is watching another man
1351,a bathroom with red walls a shower a sink mirror and toilet,a template example of a bathroom is shown in bright colors, an image of a sink is being cleaned in a bathroom
1352,a black refrigerator freezer inside of a kitchen,a black fridge that is reflecting the room, a black lab washer is being black
1353,a bathroom with two toilets and a shower in it with no space for any of them,a bathroom with a toilet and a drain in it, an image of a tub with a tub
1354,a pitcher batter and catcher during a baseball game,a pitcher throws a baseball to a batter, a pitcher throws a ball to a baseball
1355,a giraffe in its pen some dirt logs and a fence,a small giraffe walking on a dirt ground, a brown dog laying in the grass
1356,a male walking out of the water holding a surf board,a man walking near a shoreline with a surf board under his arm, a man walking along a beach with his surfboard in his hand
1357,a big open room with large windows and wooden floors,there is a living room with a table and tv, there is a room with several people and a building
1358,a brown bear walking on a ledge with trees in the background,a bear walking up on top of a wall, a beagle walking on top of a tree
1359,two zebras in a forest between many trees,an adult and a juvenile zebra in a wooded area, two camels with a flock of trees in a desert
1360,a woman walking past a store front on the sidewalk,an entrance to a galeria of some kind, an attractive lady by the side of a store
1361,a man smiles watching a rider approach with two horses,two people riding horses on a rock path, two people riding horses on a dirt track
1362,man flying a kite high above hotel buildings,a person is flying a kite near some buildings, a person is flying by some trees
1363,a couple of detour signs sitting on either side of an orange cone,two signs show a street is blocked and detoured, an older couple is looking at a sign together
1364,a man at the net makes a forehand volley in a tennis match,a young man playing tennis and preparing to hit the ball, a man sitting down to hit a tennis ball and the racket
1365,two people sitting in the snow beside their skis,two people are out skiing in the cold one appears to have possibly crashed, two people are out in snowshoes with the snow just just be seen
1366,a desk top with a bunch of electronics on it,there are many lap tops on top of a small table, there are multiple computer screens and computers on a large screen
1367,the ma is trying to tow a smaller truck,a truck transports another tiny truck on its tow, a truck pulls its back wheel
1368,a girl sitting on a bed is taking a self portrait,a girl sits on the bed and photographs herself in the mirror with her tripod, a girl sits on the bed while her friend takes her picture in the mirror
1369,large brown truck parked on the grass next to an airplane,a yellow truck is parked on grass near a jumbo jet on display, a white truck is parked on near grass near a trailer
1370,a white plate filled with meat and vegetables,a delicious looking meal of meat and potatoes, a serving food market displays and vegetables
1371,a very colorful vanity in a public restroom,fancy designed sink in a bathroom with stained glass window pattern, mannequins adorn in a public place with an asian woman in front of it
1372,a train parked inside of a train station next to a person,a long locomotive train parked in a station next to a person, a train conductor waits for a train in the train
1373,group of people walking on a city pedestrian crossing,a group of people walk across a crosswalk, a group of people walk across a crosswalk
1374,cooked broccoli in serving dish sitting on cloth hot pad,a white and blue plate full of broccoli, a group of people dressed in aprons are cooking
1375,a stove with a tea kettle and cooking pot on top,an oven with a pot and kettle on top, an cook with a pot on it and stove
1376,a large brown sectional sofa has people on it,some people hanging around in a living room with a big couch, several people laying around in a small room with a television
1377,suitcase sitting on the ground with stickers from various countries on it,a huge suitcase with a bunch of stickers on it, a strange image of a colorful object on a street
1378,the pack mules carrying loads on their backs are ascending the stairway,a group of donkeys walking up some steps with people, a group of camels walking up some stairs
1379,several people are working behind the counter of a bakery,a couple of people ordering food at a bakery, a group of workers working at a factory
1380,two young men playing a game of tennis,people playing tennis on a court surrounded by green hedges, men playing tennis in a stadium with many spectators watching
1381,black and white photograph of a girl on a bed,a blurry black an white image of a girl laying down, a closeup of a young girl looking at a mirror
1382,a group of foot ball players standing on top of a football field,two football players reach for the ball at the same time, several football players from the sidelines at the end of a game
1383,a bathroom with a round sink and red tile backsplash,a white bathroom with a large circular sink, a small sink with a white sink
1384,four people on horses walking on beach next to water,the men are riding their horses down the beach, four people are riding horses on the beach beside the beach
1385,a person standing next to a metal pot holder in a kitchen,a woman looking at a broken ceiling light in a kitchen, a woman standing at a stove stirring a pot
1386,a group of people are taking surfing lessons,a group of surfers are carrying their surf boards into the ocean, a group of surfers are surfing a board board while the crowd watches
1387,two beautiful young women baking a turkey in a pan,two women are taking a turkey out of the oven, two women are preparing for a pie on the counter
1388,a male skater jumps in the air at a skate park,a man on a skateboard in the air coming on to a ramp, a boy on a skateboard in the air on his skateboard
1389,a brown jetliner sitting on top of an airport runway,a large golden airplane is on the runway, a large plane is flying on the airport
1390,a white and red plane parked on a tarmac,a large jetliner sitting on top of an airport runway, a yellow plane parked on an empty track
1391,an old model red chevrolet truck is on the pavement,a classic red truck is parked in the lot, a firetruck is driving in the street
1392,a white bus parked next to a sidewalk near a fence,a line of vehicles parked on the side of the road, a bus parked on the sidewalk next to a building
1393,family of giraffes standing out in the open,smal and large giraffes are standing on the dirt, family of stuffed animals are standing on the floor
1394,a double decker bus with a giant ipod advertisement plastered over the entire bus,a yellow green white and red double decker bus and a building, a green bus is filled with luggage
1395,a man wearing a t shirt stands in the door way of a white bus,a boy standing in the door of a bus, a man standing in the bus
1396,a boy doing a stunt on a skateboard,a guy on a skateboard grinding on a short concrete platform, a boy on a skateboard grinding over a red rail
1397,a man and woman in costume like clothing standing together,there are two people dressed up in formal attire, there are two people dressed in costumes standing
1398,an older home with multiple windows shot from the street,a three story victorian era frame house with a peaked roof, a an older gentleman cleans his new york outdoors
1399,a smiling man in a green suit and a hat,a man in a hat is standing near train tracks, a man in a hat is smiling while smiling at
1400,people flying kites on a bright sunny day,a crowd of people flying kites in the grass, a crowd of people flying kites in the sky
1401,the old adult elephant stands near a wire fence,a picture of an elephant in a zoo enclosure, a old bird in a fence looking
1402,five people sitting on a subway checking their phones,a group of friends riding a subway while using cell phones, a group of people seated on a subway platform with their laptops
1403,a person in a green jacket skiing down a slope,a man riding skis down the side of a snow covered ski slope, a man riding down the snowy mountain wearing a red jacket and black pants
1404,a man and a child sitting in front of a cake at a bench,a man who is holding a young girl while lighting a candle on a cake, a man and a young child are sitting next to a table with a cake
1405,a young woman on a tennis court preparing to serve the ball,a little girl on a tennis court that has a racquet, a female on a court prepares to serve a ball
1406,bananas and apples are being sold at the market,there are many bananas sitting on the shelf, an open air market where two people are eating
1407,the telephone has a banana where the receiver should be,a banana placed on a phone on a table, a technician on a cellphone on a pole
1408,a red fire hydrant on the right side of a road,a red fire hydrant is on a crosswalk intersection, a yellow fire hydrant is on a road
1409,a shadow looks like a cat in a living room,a cat standing next to a laptop computer on top of a table, a cat looking down through a window looking at cat
1410,there is a jet plane that is painted multi color,a colorful plane leaves a trail of smoke on a clear blue sky, a plane soars a low airplane over a blue sky above
1411,mother and child elephant in a fenced pastoral field,two large brown elephants walking in a grassy field, a young child hugging a white cow outside
1412,a dirty public bathroom with a toilet seat lid open,a horrible public toilet that looks like it could use a good cleaning, a window washer has been cleaned out of a window with a window of water
1413,there is a yellow and red train at a train stop,a yellow and red train riding into a station, a yellow and yellow train with a train standing
1414,a frito lay delivery van parked outside in a parking lot,a lays potato chip deliver van parked in a parking space, a van drives past an empty van drives through a parking lot
1415,an orange and white cat standing in front of a flat screen tv,a cat standing in front of a tv on a tv stand, an animal sitting in the back of a computer
1416,a red and yellow bus parked in front of a tall building,a large bus parked on the side of the road, a yellow bus parked on the side of a building
1417,a white bus parked at a stop next to a crowd,a white bus is pulled up to a sidewalk, a white bus is stopped to cross a street
1418,a very tall building with lots of windows and a clock mounted to it s side,a large building that has a clock on it, a building has a structure on it
1419,a boy holds out a leaf to a giraffe,two children are feeding a giraffe and trees, a boy holding a christmas tree is standing next to a smiling
1420,a small green boat in a pond outside an office building,a small green boa is on a lake, a large boat is on a lake
1421,a white dog on leash sitting on brown park bench,a small white dog standing on a bench, a white dog sitting on a bench
1422,a group of people are taking surfing lessons,several people are getting ready to enter the water for surfing, several people are getting ready to ride in the ocean
1423,a small loaded pizza on a yellow plate,a pizza topped with an assortment of vegetables on a wooden table, a plate filled with eggs arranged with a small plate on it
1424,a woman sitting at a table with two pizzas,a couple of pizzas are on a table, a woman being served on a table
1425,a man is in a kitchen making pizzas,a person standing by a stove in a kitchen, a man in an apron making a meal
1426,two cats sitting in the dirt under a tree,an image of two cats in a sand lot, two cats of other in a grassy area
1427,a person is riding a skateboard on a ramp,a skateboarder is performing a tick in a skate park, a skateboarder is performing a trick in a skate park
1428,a man with a mustache is wearing a tie,the man is waring a colorful tie and a dark jacket, the man is wears a mohawk and a black shirt
1429,three traffic signs sit on on a corner in front of a brick wall,a corner with a stop sign a no entry sign and a one way sign in front of a brick wall with graffiti, a sign with a sign written on a brick wall is surrounded by a sign with a sign saying souvenirs and people are walking
1430,the ten speed bike is attached to the pole,a red bike with white handles is locked to a black pole on a sidewalk, a bike bike is jumping off a dirt hill in a forest
1431,three people on packed snow trail two skiing one walking,some snow skiers one in a blue jacket the other white, three crosscountry skiers in a red ski lift
1432,a train pulling into a station beside a platform,the train is traveling down the railroad tracks, a train standing on the train tracks are unconcerned
1433,two plastic containers next to a banana on a table,a plastic plate with beans quiche apples and a banana, a pair of apples stacked with containers while a woman sits on a bench
1434,a clean white keyboard laying on the table,a keyboard sitting on a desk next to a computer mouse, a couch on a couch while a man looks on from a laptop
1435,the meal is being prepared in the big pot,a pot filled with a soup with a lot of carrots, a cook with a spoon filled with a large pot
1436,a white and orange cat looking at itself in front of a mirror,a cat on a porch looking at it s reflection, a cat on a bed looking at mirror
1437,a glass of milk next to a round purple vase,a glass of milk is sitting next to a vase with a reflection in it, a glass of glass is stacked in front of a glass with a glass of wine
1438,a brown train next to a large mountain,a train on the train tracks in the daytime, a view of the mountains on the snowy
1439,a laptop computer is turned on at a table,a small silver laptop on a wooden table, a large computer computer on a large computer
1440,an empty beach with a blue bench on it,a photo of a bench in the middle of the beach, a bench of a beach in the middle of the beach
1441,a tennis player with a racket on a court,a man standing on a tennis court holding a racquet, a woman playing tennis on a tennis court
1442,a highway road sign directing the way ahead,an green and white overhead street sign on interstate 278 for queens and bronx showing a truck restriction, an orange sign with yellow signs on it and traffic traffic about to cross a road that says swatch
1443,a bathroom with sink mirror and lights in it,an all white bathroom with a light fixture and small mirror above a sink, an image of an image depicting a glass and clear glass with a glass mirror
1444,a dog sniffing a red fire hydrant near grass,an old dog sniffs a red fire hydrant, an orange dog sniffs a red fire hydrant
1445,a man and woman that are standing next to rocks,a couple of men holding a black umbrella, a couple of people standing a rock
1446,a motorcycle is parked near a puddle and a van,a white and black motorcycle sits next to a van in a parking lot, a red motorcycle and motorcycle parked a brick road on a european street
1447,two men standing in front of a flat screen tv,two men are playing a wii video game, two men are watching a tv screen
1448,a man standing by a table looking at a laptop,a young man stands over a lap top computer screen, a young man stands next to a laptop computer
1449,a woman holding a tennis racquet on top of a tennis court,a woman holding a tennis racket on a court, a woman holding a tennis racket
1450,a painting of a person standing in the park while a kite flies above them,a boy is playing with a kite in a wet land, a man is painting in a park with a statue
1451,a pastry station with an assortment of fillings and sauces,pastry items and toppings on display on a table, pastry about to someone around her counter
1452,a man and a woman sitting at table,two people sitting at a table with plates of food, two people sitting at a table with drinks in the background
1453,a sport team is posing in a park,a little league baseball team in orange uniforms posing for a group picture, a team member dressed in uniform poses for a photo shoot
1454,a cat standing next to a white toilet near a bath tub,a bathroom with a toilet bathtub and a cat in a bathroom, a cat with a kitten next to a floating in a bathtub
1455,a man with a little girl sitting on his lap,a man and child pose for a picture together, a man and little girl sitting on a couch
1456,a living room featuring a comfortable seating arrangement of chairs and tables,a very cozy looking living room with an oval table, a living room surrounded by many tables
1457,a young man riding a skateboard down the side of a ramp,a man doing a trick on roller skates in a skate park, a man riding a skateboard on a ramp doing tricks in the air
1458,two teenage girls paying a video game together,two girls are playing a game on their nintendo wii, two girls are playing a game on their wii game
1459,two men are riding horses along the beach,two people on horses on a beach readying for a picture, two men on horses in a sandy beach on a beach
1460,and antique red car is positioned in front of an airplane,a unique car sitting beside an airplane, a classic vehicle parked parked outside
1461,a fire hydrant that is painted like an american flag is next to a street,a fire hydrant painted like the american flag, a firefighter spray up the hood of a flag
1462,a highway with a green exit sign and a yellow traffic sign,a highway at dusk with cars traveling between cities, a sign out of traffic traffic somewhere
1463,a cow breastfeeding its calf while other cows stands around in a grass area,a small cow is getting milk from it s mother, a large cow is being pulled up by the cows
1464,two pieces of pizza are served on a plate,a plate with two slices of pizza on it, a plate of dough with dough on a plate
1465,vendors selling various fresh foods at an outdoor market,the people are sitting and standing at the event in the street, people are sitting and looking at food in the market
1466,a man standing next to a woman near a cake,a woman is slicing a cake with her friends, a man is presenting a woman with cake
1467,a cat sitting on a desk next to a remote control,a cat perches on a desk in a bedroom, a cat siting on a desk
1468,a large jetliner flying over a dry grass field,a commercial airplane above a dirt trail and crowd of people, a helicopter flies through a grassy field and field of spectators
1469,a person that is going out in the water,a man holding a yellow surfboard walking into the ocean, a man holding a blue surfboard jumping into the ocean
1470,a stuffed teddy bear sitting in a cardboard box,a card board box with a brown teddy bear and items in it outside on a curb, a stuffed stuffed animal in a box filled with stuffed boxes on it in front of a box
1471,a sign explaining the components of a 10 speed bike,the book is about fixing your bike, the stop is about to start
1472,the airplane has landed behind a fence with barbed wire,a plane that is sitting on the asphalt behind a fence, a plane is flying on the fence beside a fence
1473,a hotel suite with balcony overlooking the scenery,a large living area with a bed and some couches, a large view with a balcony with mountains and mountains
1474,the people are sitting outside under a large umbrella,two people sitting in a field with open umbrellas, people sitting in a large chair with umbrellas
1475,a woman sits eating food at a table,a woman in a bathrobe is eating a meal, a woman in a restaurant eating a meal
1476,a white bus is pulled up to a sidewalk,passengers standing outside a green and white tour bus, bus walking down a street with yellow bags
1477,a bike stuck inside the back of a train,a bicycle being held by a bar on a train, a bicycle being driven by a person on a train
1478,a man guides a pony with a young boy on it s back,a man holding a horse so a little boy can take a ride, a man riding a donkey a young boy is being pushed by a woman
1479,a lot of carrots on a wood board for sale,a bunch of carrots sitting on a table, a bunch of vegetables outside
1480,a cat is sitting on the bed near a person using a laptop,a person sitting on bed behind an open laptop computer and a cat sitting beside and looking at the laptop screen area, a cat sitting on top of an old computer while sitting on a computer computer while a man in a black shirt stands next to him
1481,bunches of bananas hanging from a fruit stand display,many bunches of bright yellow bananas hanging on display, several fruits stand on a display line behind them
1482,a large elephant and a baby elephant walking in tall grass,a big elephant and a little elephant walking, a large elephant and a wooden animal
1483,a small bird resting and eating from a bird feeder,a small bird contemplates how to get some seeds, a large bird feeds it to the birds over a bench
1484,elephant going after a small animal of prey,an elephant is chasing a dog around in the dirt, an elephant is pulling a bird around in the water
1485,a group of people riding skis on a snowy surface,a group of skiers have left a trail through the snow on the mountain, a group of skiers have their skis are on a snowy mountain
1486,a group of men standing around a sidewalk together,all of these men are using their cell phones, many men are gathered on a sidewalk by a brick wall
1487,giraffe inside rock walls standing and bowing its head,a giraffe splays its front legs while in its enclosure, a monkey hides his mouth while standing on a wall
1488,the zebras are behind the fence in the zoo,a grassy field with two zebras in it, a deer with its tail outside
1489,a food that is topped with bananas and a brown sauce,the desert is made and ready to be eaten, the food is made to be eaten soon
1490,a green fire hydrant next to field of colorful flowers,a fire hydrant sits in a bed of flowers, a fire hydrant is spraying in a field
1491,a group of people riding motorcycles and horses on a race track,horses and bikes are traveling down a track, horses and riders are racing down a track
1492,a baseball player holding a bat while standing on a field,a man is swinging a baseball bat outside, a baseball player is swinging a baseball bat
1493,several fruits and veggies are ready to be eaten,a table with two black trays of food that include raspberries and broccoli, a group of vegetables and vegetables with different types of different kinds foods
1494,a wedding cake sitting on a table with flowers,a large white cake on a small table, a large cake on a white table
1495,a flock of geese are sitting on the water with boats in the background,a group of white swans swimming on a lake, a group of birds sitting on a boat
1496,two birds flying in the sky over a lake,a couple of birds flying over a body of water, a bird with two wings flying over a body of water
1497,a pair of girls are cooking in one pan together,two preteens standing at the stove cooking green beans, two females cooking food and are cooking outside
1498,a red fire hydrant sitting on a sidewalk,a hydrant is shown on the side of the walkway, a fire engine is on the side of the road
1499,woman snow boarding off of a cliff in the air,a snowboarder hitting a trick on a mountain, a lady skiing on a snowy day
1500,a woman takes a selfie in her backyard on a moped,a woman on her bike in her yard, a woman on her car in the grass
1501,an old train with graffiti on the tracks,the freightliner sits on the tracks with graffiti spray painted on the side, old train outside and the train tracks with graffiti on the side
1502,the bus is pulling off to the side of the road,a bus pulls over to the curb close to an intersection, a taxi stopped to cross the road near some buildings
1503,a pair of people lean out from behind curtains and smile,a guy peeks out from behind a curtain, two blonds out out from a mirror
1504,a couple of motorcycles are lined up on the road,some motorcycles are parked grass trees and flags, two motorcycles motorcycles down a dirt road lined with graffiti
1505,a bird walking past a white car in a lot,a white care is sitting in a handicapped parking spot, a white bird is walking in a grassy field
1506,a man riding skis on top of a snow covered hill,a skier is standing and posing for a photo, a skier is riding and riding a slope
1507,a number of vintage refrigerators and freezers sitting outdoors,kitchen appliances outside a building with yellow doors, inside an indoor kitchen on a white gas table
1508,a pile of pancakes sitting on a plate of food,some pancakes are stacked up on a plate, several vegetables sit to a table on the table
1509,a man on a motor bike riding in the high way,a person on a motorcycle driving on the break down lane, a person on a motorbike riding on the dirt dune on the ridge
1510,a cat is sitting by a computer on a desk,a cat on a desk next to a keyboard and computer, a cat on a laptop next to a computer and computer
1511,a farmer inspecting cattle at a livestock auction,a cow licking its side in an enclosure, a farmer checking out a cow outside
1512,a black cat sitting in a field of grass,a black cat is staring directly into the camera, a black cat is perched up on the grass
1513,a group of people that are petting a cat,people are sitting on the ground petting a cat, people are sitting on the bed petting a baby
1514,a kite flying over a city park on a windy day,an unusually shaped kite and a very colorful one, an airplane flies a very long sky
1515,a little baby sitting up surrounded by teddy bears,a baby snuggled between teddy bears while hands in mouth, a baby crawls together while surrounded by adults in pajamas
1516,a man looks at a motorcycle amongst others in a field,a close up of some motorcycles parked on a grassy field, a guy on his motorcycle surrounded by many people
1517,a wet road in a rural neighborhood,a long road line with lots of houses, a road road with many trees and a neighborhood
1518,a man riding a skateboard up the side of a ramp,a skate board rider skating on the edge of a ramp, a shirtless man skateboards on top of the ramp
1519,a yellow bus with tinted windows driving uphill down a street,a yellow bus parks near the median of a street, a yellow taxi travelling across the street
1520,tomatoes sit in a black bowl next to a flower,a small bowl that has tomatoes in it, a large amount of apples sits in a bowl
1521,a plate of polents a tomatoe and brocolli,a pancake topped with rice spinach and brocolli, a plate filled with eggs eggs and eggs
1522,a big bin filled with some ripe yellow bananas,display for bananas with a euro money sign, fruit with apples in a bin box
1523,a polar bear opening its mouth while standing on a rock,a polar bear standing on a large rock with its mouth wide open, a golden retriever standing on a large rock with its mouth open
1524,a little boy raveling down a road on a bike with a yellow helmet on,a little boy wearing a helmet and riding a bike, a little boy wearing a helmet on a bike
1525,there are 3 female peacocks together walking around,three wild turkeys on top of the dried pasture, three females walk down the street by a statue
1526,six people on a bus with five of them on their electronics,a close up of people sitting on a public transit train, several people are on board riding a bus
1527,a family of elephants standing together in the jungle,elephants standing beside each other outside on a road, elephant standing together standing near trees
1528,a cat lays down on a bed,a close shot of a cat laying on purple sheets, a cat lies on a bed bed with a stuffed animal
1529,a cat sitting inside of a plastic bucket,a kitty cat jumping out of a blue bowl, a cat laying down of a yellow blanket
1530,a person jumping a pair of skis in the air,a skier is jumping in the air and crossing his skis, a skier is jumping in the air while another man is skiing and watches
1531,a man standing next to an elephant next to his trunk,a smiling man standing very close to a cute elephant, an old man standing next to a elephant drawn
1532,a baseball pitcher who is in mid pitch,a man in black jersey pitching in baseball game, a man in baseball cap throwing in air
1533,a white bus parked next to a sidewalk near a fence,a white bus stopped alongside a sidewalk in the street, a white bus parked by parked a white bus
1534,the man in the picture is wearing a stylish kilt,a man dressed as a woman stands on a red carpet, a man dressed as a woman on a street holds a camera
1535,a utility vehicle parked in a wild vegetated field,a yellow truck is sitting in high grass, a white vehicle is standing in front of a field
1536,a yellow food truck parked on the side of a city street,catering truck parked tightly between cars on a city street, food truck sells refreshments parked on a street
1537,a busy city intersection clogged with bike traffic,hundreds of bicyclists clog up traffic in a city, traffic traffic cycles to a busy street
1538,a living room with a mat on a floor and a book shelf filled with books,a room with pillows sheets bookshelves and hanging lights, a book with crayons scattered and books together
1539,small black and white pig on wheeled cart with protest sign,the pig is sitting in front of the ironic sign, the animal is standing in front of the cart
1540,a woman walking next to a man riding a pink bike,a person walks next to a person who is biking down a city street, a person walks down a street as a man walks past her bike
1541,a dog sitting in a pile of bedding and other stuff,a pit bull dog on a messy bed, a tan dog laying on a bed
1542,yellow train stopped at the station in front of a bench,blue and yellow train at a train station in front of a bench, yellow train in a train station at a station station stop
1543,a woman sitting down holding a spoon and in her hand and eating,a woman eating food at a table in a kitchen, a woman eating food at a table
1544,a man is shaking hands with another man,two men shaking hands after a dinner speech, an african man shaking his hand at a podium
1545,a young man riding a surfboard on a wave,a surfer wearing red and black shorts rides a white surf board, a young man riding a white surfboard riding down a blue ocean wave
1546,a white plate with a pile of food on it,plate of food with gravy on mesh table with knife, plate of food with eggs hanging out in front of it
1547,a coo coo clock mounted to the side of a wall,an image of clock that is on the wall, an image of the mouse on the ground
1548,a room with a t v and other bedroom items and accessories in it,a poster of a bald man in a room with a desktop computer, a room full of a room with a few people
1549,a jet fighter flying through the sky above a snow covered mountain,an airplane with the swiss flag symbol is flying through the mountains, an athlete with the parachute is leaping through the air
1550,a big truck loaded with some items in the back,two large trucks are parked near each other, a truck carrying a box of vegetables inside on the back
1551,some are standing outside a building with suitcases,a few people are getting of a plane, a bunch of people are at a airport
1552,a yellow and green train at stop lights,a commuter train that is in the train yard and is parked, a train station is at the train station wearing red
1553,an elephant standing by a plaque with a description of it,an elephant in a zoo walks behind the asian elephant sign, an elephant in a santa bear standing next to a statue of the ocean
1554,the pot on the stove has chopped vegetables in it,there are diced vegetables inside a saucepan on top of the stove, there are vegetables arranged near a campfire on the stove
1555,woman dressed in black smiling and brushing her teeth,a beautiful young woman brushing her teeth in a bathroom, a smiling woman brushes her teeth
1556,a woman holding up a tennis racket during a match,a woman holding a tennis racket in her hand, a woman holding a tennis racket in her hand
1557,children looking at a zoo giraffe and its baby,some children look at two giraffes in an enclosure, some children look at an elephant in an exhibit
1558,three people are talking and laughing while in the stable with a horse,there are people standing next to a horse, there are people talking on a horse
1559,a great shot of a very nice and large city somewhere,a river is seen from afar and the river is next to a city that features old buildings, a view of a hotel where i can be seen and tourists on the side of the road
1560,a young man is dressed in a school skirt outfit,the man in the picture is wearing a stylish kilt, the man in the uniform is wearing a uniform
1561,a very tall brick clock tower with a clock on each of it s sides,a building has a tower with a clock on it, a building has a tower with lights
1562,a person flying through the air whale riding skis,a person doing a trick on water ski s while another passes underneath them, a person on a jet ski is jumping up and watching something
1563,a person on skis skiing down a mountain,a skier in a blue and white outfit, a skier in a red and white jacket
1564,a kid throwing a frisbee on a grass field,child throwing frisbee on a field with cones and people in the background, child throwing frisbee on a field with grass and trees in the background
1565,a cat that is standing looking through a glass,an orange cat looks through a glass plate, an animal looks through a glass glass
1566,it s important to protect a baby from the sun,a person walking down the street holding an umbrella, a child sitting on the beach holding an umbrella
1567,front view of train with lights on next to a sidewalk,the train has it s headlights on and is ready to leave the station, a line of stairs and parked cars on the sidewalk and looking at the buildings below
1568,a man talking to a group of kids as a cow stands in a cage,a man talks in front of a group of kids, a man stands near a group of children
1569,a group of people on snow shoes posing for a photo,three people on skis are posing for a picture in the snow, several people in winter clothes are posing for a picture in the snow
1570,a grey clock tower above building with sky in the background,a clock tower behind a building with a sky background, a clock tower with a building behind it
1571,two elephants cross tusks in confrontation in a field,two elephants in a field entwining their trunks, two cows in a desert clearing two cows
1572,a skier about to head down the slope,a skier posing on a snowy ski slope, a skier skiing down a snowy slope
1573,two people about to get on board a bus,the bus stopped at the bus stop and people are getting in, people waiting for the bus to go to the bus
1574,a vase full of white flowers sitting on a wooden table,a vase sitting on top of a table with flowers in it, a table with flowers on it is sitting on a table
1575,a man in uniform riding a horse by a fence,person in red peacoat and hat riding a horse, man in uniform riding a horse while wearing a white shirt
1576,young women washing motor cycles in the middle of a street,girls wash a motorcycle while men look on, young women washing the streets street
1577,young man on top of a snowboard wearing maroon jacket,a young boy is standing on a snowboard, a young man is riding on a snowboard
1578,a train with a striped door waiting on a train track,this the outside of a train with a slanted striped door, train in a train with two trains
1579,people are holding wine glasses next to each other,people holding up for wineglasses to each other, people sitting at their favorite table with drinks
1580,a person riding skis on top of a snow covered slope,a man that has ski s and is standing in the snow, a skier with a red helmet and black pants is skiing down the snow
1581,a building and a street sign are by a road,a street sign reads bus stop not in use, a street sign sells cement and cars in the background
1582,a couple of giraffe standing next to each other,two giraffes stare at a crane from behind a fence, an intimate couple next to a couple of animals
1583,a white toilet sitting in a bathroom next to a sink,there is a small bathroom with a white vanity, there is a large tub in a tub
1584,several cows laying down grazing and walking on a farm with birds flying around,a large field of grass and cows, a group of animals are outside
1585,a tv on a tv stand in a room at christmas time,an old tv and a flat screen tv on a homemade entertainment center, an image of a tv tv tv on a tv tv tv
1586,there is a train and bus in the cityscape,a bus is passing in front of big buildings and beautiful gardens, a bus is parked in front of some buildings and buildings
1587,a jumbo jet flies through the sky with the moon peeking out,a commercial plane flying by the perspective of a half moon, a jet flying flies through the sky
1588,a very large teddy bear that is sitting in a chair,large stuffed bear sitting outside of a building, large stuffed animal sitting in chair
1589,a statue of a person holding an kite next to a child,a statue of a boy is holding a kite in his hand and standing next to a girl statue, a kite is holding a child s hand in front of a person standing next to a person sitting on a bench
1590,a microwave oven sitting next to a device near a fence,there is a microwave on the floor that is on display, there is a computer on the side of the door
1591,an extensive network of wires are required to operate the railroad,a long train yard full of different equipment, a large machine machine works to a train
1592,a youth on a toilet taking a selfie in a mirror,someone sitting on the toilet in the bathroom holding their camera at the mirror, toddler on steps in front of the mirror taking a picture
1593,the view of a top of a buildings spire showing a small clock on it,a white steeple near the roof of a neighboring building, a view view of a building near the tower
1594,many people holding skis and snow boards on a snowy surface,many people attend the ski event dressed in warm clothing, many people ride the ski lift through snow
1595,a blonde haired teenage man is swinging a tennis racquet at a ball,young man swinging a tennis racket on a tennis court, blond hair haired girl playing a tennis game
1596,in a library children look on as costumed characters give a presentation,a man reads a story to a group of children, a classroom full of children a class of children
1597,a plate with flower print and broccoli on it,the meal of chicken and rice has green brocolli with it, the plate of flowers and an older man with the number 12 and smiling
1598,a cat standing next to a bike parked against a wall,a kitten is walking next to a parked bike inside, a cat is parked next to a parked outside
