,source,target,sampled
1750,two men at the beach one of which is holding a surfboard and a para sail,a person using a wind surfboard on the beach, a person by the ocean is holding a surfboard
1751,a woman in sunglasses is outside holding a baby,a very attractive woman holding a little girl that is chewing something, a smiling redheaded woman is holding a baby that has an umbrella
1752,a scone with an orange slice on a plate,banana bread and orange juice with a orange wedge is sweet tasting, pastry with orange and orange apron is serving a plate of tomatoes
1753,a train traveling under a rusted bridge on top of tracks,a purple train with a yellow front is under neath an over path, a train with a yellow and yellow vest is outdoors near a gate
1754,a plate that has food that is sitting on the table,a very bright red plate with some tasty looking food, a plate with a plate of food utensils next to a table
1755,a herd of zebra are grazing on tall dry grass,a herd of zebra in dry vegetation near dry trees, a flock of grass in grass surrounded by bushes on them
1756,there is a fresh pizza that just came out the oven,a large cheesy pizza on a wooden counter, a large kitchen rolls on a small plate
1757,there is a young girl putting food in to a oven,little girl holding up a sheet of uncooked rolls by oven, young girl with a plate of cooking utensils and an apron is cooking
1758,a thing is in the outline and it shows up like something,a pizza with meat and red peppers and parmesan cheese, a with object with its eye and i i i m
1759,a couple of men standing next to a truck,three men are next to a car and a boat, two men are next to a truck and a truck
1760,a bunch of sheep are walking around bored,several sheep standing around in the grass, several cows walking around in the street
1761,many bicyclists are gathering at the taco truck,people riding bikes between a food truck and a building, people stand near a truck and a truck truck
1762,a group of people walking down a street next to a tall building,pedestrians walking on cobbled sidewalk past multiple storefronts, crowd walking on brick walkway next to buildings
1763,a man surfs on a wave in the ocean,a person on surfboard riding on a small wave, a person surfing on water with a blue hat
1764,there are various items on shelves tagged for sale,a blue shelf holds different sized silver vases, a group of colorful colored plastic goods stand together
1765,a black orange and yellow train on its track and some trees,the freight train is painted orange and yellow, orange and yellow train tracks with a yellow track
1766,a red laptop with earbuds sitting on a table,the red laptop is sitting on the table with headphones, a red sitting sitting on the table with a laptop sitting on it
1767,a person doing skateboard ticks at a skate park,a person on a skate board is doing a trick, a person on a skateboard doing a trick at a skate park
1768,a man standing next to a motorcycle talking to several other men wearing yellow vests,men in neon vests are in a parking lot with a motorcycle, men in uniform surround a group of people in a vest
1769,a dog is standing and sniffing an abandoned ball bat,a full size dog is smelling a bat on a ballfield, a golden retriever is chasing a ball in a yard
1770,a woman in black shirt riding a skateboard,a person skateboarding near a skateboarding park at sunset, a woman performing skateboarding on a skateboard
1771,a street scene with a horse pulling a white carriage,a horse pulling a large carriage down the street with several people on the carriage, a horse pulling a carriage in a carriage down the road with two people behind them
1772,a long tunnel with a long table with lots of seats and candles next to wine glasses,the long table is set for a formal dinner with glassware for wine, the glass is set up by a large glass glass for sale
1773,road signage with sticker displayed near parking area,a stop sign vandalized with an eating animals sticker below the word stop, a sign advertising sign parked in an empty parking lot by the meters
1774,a cloudy sky is shown behind a hollywood street sign,a street sign sitting on the side of a large pole, a street scene in front of a sign
1775,a plate of food placed next to a computer,there is a plate full of food in front of the laptop, there is a plate of food to the plate of food
1776,a man gazes at an intricately designed clock with roman numerals,a clock that is standing on a table, a gentleman looks at a poster on a display
1777,a glass vase with some flowers inside of it,a vase sitting on top of a table with flowers in it, an opening with candles on the side of an open wall
1778,a person is holding up a large colorful umbrella,a person walking down the street carrying a rainbow colored umbrella, a person walks down the street holding an umbrella
1779,a man is sitting on a chair with some pizza,a man is sitting in a hospital room with a piece of pizza on a plate, a man in a white shirt sits at a table with a plate of food
1780,people riding and pushing tricycle carriages down the street,people use rickshaws to transport luggage down the street, people moving their wheeled carts down the street
1781,an elephant in a field near many bushes,an elephant in a grassy area with trees around, an animal in a grassy field near plants
1782,graffiti decorates the wall in front of a parking meter,graffiti is on the wall next to the parking meter, graffiti is on the side of the brick wall
1783,a person wearing a towel is drying their hair with a hair dryer,a woman in a bathroom blow drying her hair, a woman in a ponytail washing her hair
1784,a crowd of people play with the wii video game console,a group of men standing around a room together, a group of people sitting around a video game
1785,a black cat sits upon a television set,a cat sitting on top of a televsion, a cat sitting on the tv
1786,a street sign on a street corner in some very busy area,a yellow pedestrian sign at the side of a lit up city street, a street sign shows the street to make a sign
1787,two equestrians riding their horses on the beach together,two riders guide their horses along a rock strewn sandy beach, two horseback riders attempt to catch a brown calf through the ocean
1788,two snow boarders during a snowy day at the hill,two people sitting in the snow beside their skis, two people standing in the snow together snowboarding
1789,a television screen is displayed in an empty bus,the inside of a commuter city bus with palide seats, the inside of an airplane has people inside it
1790,a girl in white and pink shirt riding on a horse,a young child riding on the back of a horse, a girl riding her horse on the street
1791,an antique green pickup truck is parked in the grass,a truck painted green with designs parked by other vehicles, a truck with an empty truck parked through the grass
1792,four gentleman posing for a picture at a cocktail party,a group of four older men posing for a photo, a group of four males posing for a photo
1793,a chair in the corner on a boat,a wicker chair sitting on the end of a wooden pier, an airplane sits at the end of a dock
1794,a red and yellow bus parked in front of a tall building,a bus parked in front of a brick building, a bus parked in front of a building
1795,two dogs in a grassy field with one dog holding an orange disc,two dogs playing in the grass with a frisbee, two dogs in grass in a grassy field
1796,a gate is near lots and lots of luggage that is all grouped together in different clusters,aerial view of suitcases grouped together waiting on a sidewalk, many vehicles parked along side gate on a walkway
1797,street vendor selling produce in a street display,a vegetable vendor organizing his food for sale, a vendor selling his wares with people outside
1798,there is a tennis player laying down on the court,a male tennis player lays on the ground, a tennis player swings back the ball
1799,a dog standing on a bench with an orange tree in back,a dog standing on a ledge in front of a lemon tree, a dog standing on a bench in front of a tree
1800,a man has his face up to a video game monitor,a man holding his face next to a picture on a television screen while holding a game controller, a man with glasses looks at a screen on a tv screen while a tv player holds a screen
1801,an image of two cats in a sand lot,several cats sitting near a tree and a bird on a fence post, two cats laying on a bench on a beach with their legs nearby
1802,a man serving another man a cake with candles on it,man wearing red hoodie being presented with cake, man with black cap serving a cake with cake
1803,a traffic light sitting on the side of a road,traffic lights on a corner of a road with vehicles, traffic traffic on a busy street
1804,a woman pats an elephant as a couple men watch,three people standing next to a large elephant, an elephant in front of a young woman and a black elephant
1805,the two sheep are standing next to each other in the field,pair of sheep standing on open grassy field on clear day, two white dogs standing near each other on grass in front of a crowd
1806,a hotdog stand with outside seating and bright lights,a city street scene of a restaurant with tables outside, a hotdog standing at a table with food
1807,a bus stopped in front of a building with the apple logo on it,a bus parked near an apple sign during the night, a bus parked near an airport sign
1808,a tennis player using his shirt to dry his face during a tournament game,a tennis player with a blue shirt playing tennis, a tennis player with a red shirt on
1809,a man looking in the refrigerator with a cat also looking inside,the person is looking in the refrigerator while the cat looks on, the person is looking in the mirror and looking at an animal
1810,a huge plate of yummy food with fork to eat,a pizza topped with cheese tomato sauce and mushrooms being sliced on a plate, an aerial plate with many plates showing it it it is a plate
1811,a very large pizza covered in cheese and toppings,a large pizza is shown on a table with bottles and glasses of wine, a large amount of soup is on display with a plate of eggs and prices
1812,two pieces of broccoli being held up on a fork,fork holding the contents of different types of vegetables, 2 people cutting up a piece of paper
1813,i am unable to see an image above,a man getting ready to serve the ball in a tennis game, a man trying to get a better look in the mirror of a building
1814,the telephone has a banana where the receiver should be,a phone with a banana where the receiver should be, a man with a ponytail is trying to a phone
1815,a man with a tennis racquet is dressed in white,the older man is playing tennis on the court, the man is swinging at the tennis
1816,a black bird standing on the floor in the street,a bird on the ground next to a person at a table, a bird on the ground next to a person on a street
1817,two girls are sitting on the edge of a boat looking at the water,children are sitting on the side of the boat in the water, two girls in red jackets look at the water in the water on a boat
1818,some children are riding on a mini orange train,the children are riding on an indoor train, children are riding on an amusement train
1819,a market street with various goods on display under an umbrella,outdoor market with many vegetables and food available, market selling items that has many items
1820,a bathroom with blue walls and pink tile,this bathroom has pink tiles in the shower and is painted blue, closeup of a ceramic floor as she cleans the floor
1821,a child is holding two hot dogs up to the photographer,a kid is holding two hot dogs in a room of kids, a child is posing for a picture of a dog holding a stick in its mouth
1822,a room with many medical supplies in it,person laying in a hospital bed with lots of equipment, group of people working with medical equipment in a lab
1823,a tenn player that is returning a tennis ball back to his opponent,a man swinging his tennis racket to he can hit a ball, a man tennis player his his arm to hit the ball
1824,a sculpture of an elephant decorated with images of other animals,an elephant statue with an opening of various drawings on it, an elephant with an elephant sitting on a stone trunk of grass with people around
1825,the big ben clock tower towering over the city of london,a large tall tower with a clock on top, a large crane with a view on a wall
1826,a gray and white kitten sitting in a bathroom sink,a gray and white kitten in a white bathroom sink, a brown and white dog sits in a white sink
1827,a train passes by a road on a railroad track,a yellow train engine pulling train cars over road, a train train track driving past railroad tracks
1828,a cat sitting by a window watching the rain,a close up of a cat on a window sill looking out the window, a cat on a leash looks out of a window next to a street
1829,several male baseball players playing a game while fans watch,a batter getting ready to bat with the catcher and umpire behind him, a baseball player from the bleachers watches as the other team with fans watch him
1830,a boquet of flowers sits on a table,a clear vase sits on a table and holds long stemmed tulips, a bride sits on a wooden table as she reads a book
1831,a white plate contains various exotic food items,a plate filled with various kinds of food, a table with many different plates and items
1832,a close up of a glass of wine on a table,a glass filled with alcohol sitting on a white table, a glass covered glass jar in a glass glass
1833,a woman holding up a large bottle so a baby giraffe can drink from it,a baby giraffe sucking down a bottle of milk, a baby <unk> feeds to a woman
1834,a white dish filled with broccoli and cauliflower,broccoli and cauliflower florets cut into small pieces and spread around, glossy cake filled with lemon and white awnings and candles and candles and prices
1835,a man is hiding inside of a refrigerator,a man is inside the refrigerator with a carrot in his mouth, a man is inside the kitchen with a plate in his mouth
1836,an interesting kitchen renovation with brick and wood,there is something missing under that wooden shelf, an old building with glass and stone floor floor
1837,a man pouring a glass of wine on top of a wooden table,there is a male bartender that is pouring a glass of whine, there is a man pouring a liquid from a glass at the table
1838,a surfer is riding a wave in light blue water,a surfer paddles over a wave in clear blue water, a surfer surfer flies in a body of water
1839,a white horse drawn carriage in front of a yellow building,a white horse pulling a wagon while stopped on the side of the road, a white horse carrying an orange carriage down next to the building
1840,a skate boarding teenagers goes airborne on his skate board,a boy who is skateboarding does a trick, a boy doing a skateboard trick a trick
1841,a baseball player on a field with a bat,two athletes are competing on a playing field, an athlete is swinging on a baseball field
1842,a man laying on top of a sandy beach,a man in shorts is laying on the beach, a man in shorts is laying on the beach
1843,two cattle are standing by the side of the road,an adult and a child cow standing on the side of the road, two horses standing next to a red and white car
1844,two college age boys playing wii while others look on,a couple of people standing in a room with some remotes, a game of two boys playing in a game with their friends
1845,two people sitting on a bench near trees,black and white photograph of women on an old park bench, 2 of young people sitting on a bench with trees and trees in the background
1846,many cars are parked along the sidewalk of a narrow street,a narrow sidewalk with cars parked on both sides of the street, several vehicles parked with cars next to the side of the street
1847,a cat that is laying down on a desk,a cat sleeping on a keyboard on a table, a cat asleep on a couch on a table
1848,a bathroom that has a persons hand holding an object,a woman holds a dryer in a bathroom, a man holds a glass in a bathroom
1849,a bench sitting on the beach near the ocean,a bench that is on the beach by the water, a bench is relaxing on the beach
1850,a group of zebras in a field by some trees,zebras and wort hogs living together on the plains, deer runs along grassy ground towards the woods
1851,a close up of a person brushing her teeth in the bathroom,a beautiful young woman brushing her teeth in a bathroom, a young blond woman brushing her teeth in a bathroom
1852,a group of people standing beside a bench with frisbees,a group of people who are outside holding a frisbee, a group of people are standing outside a building
1853,a fluffy cat laying on an electronic device,a cat lays down on a dvd player, a cat lays down on a couch
1854,a man playing tennis getting ready to take a swing,a tennis player competes with a large crowd watching, a shirtless man playing a tennis with a tennis racket
1855,very artistic photograph of a house a lake and a wooden boat,a house sits next to a swampy river, a lake sets and its wings
1856,asian man on motorcycle with a large load of cardboard boxes,a person riding a scooter with folded cardboard, a person riding a motorcycle while carrying
1857,two women sitting in two separate train cars,passenger train in the night hours with no smoking sign and two women, 2 women inside the train station with two cars and cars in the background
1858,an iphone pen and soda can on a table,a soda can a pen a cell phone and a fruit drink mix packet sitting on a table with a computer keyboard, a table has a pencil notebook as a man is sitting next to a table with a coffee cup and a coffee cup
1859,a person holds a smartphone taking a picture of a bottle and glasses on the table,a person holding up a cell phone by a lit candle, a person holding up a tripod a tripod during a photo
1860,a couple of people sitting around a table,three men sitting at a table eating breakfast, two men sitting at table at a restaurant
1861,a train sits on the track at a deserted station overlooked by a tower,a train is pulling into the train station, a train is waiting at the station
1862,this a case full of doughnuts and cinnamon buns,a display of a variety of donuts at a store, a syringe of the three people of a large pizza
1863,two zebras eat a piece of a plant,two giraffes eating some crop during the day, two chickens eating corn from the ground
1864,a lady wearing glasses looking at a large pizza,a woman looking a pizza with assorted toppings, a woman looking into a menu of an establishment
1865,a large long train on a steel track,the red and white train is waiting at the station, large white and white train in the dirt at the track
1866,a man riding a motorcycle with a woman on the back,two people sitting on a motorcycle in the street next to a beach, two people riding on a motorcycle in the middle of a crowd of people
1867,a goose walking inside of a cafeteria area,a white and black bird is walking by a table and some chairs, a white and white dog is walking by a small shack and some vegetables
1868,a man in a black tie and white shirt has a stern look on his face,elderly gray haired man in a suit scowling into the camera, theres s a black shirt with his eyes
1869,a wood bench is next to a tree,the empty bench is sitting next to the potted tree, a sitting sitting on the tree trunk to the tree trunk of a tree
1870,a teddy bear sitting on a blue chair,a beige teddy bear is sitting on a chair, a teddy bear is laying on a chair
1871,a dog in a car on a street near a traffic light,a dog sticking it s head out of the drivers side window, a dog flies out of the air while someone s car driving down the street
1872,a person skiing through the snow near some trees toward a sunset,a person in ski gear skiing on slope next to trees, a person in snow gear skiing on snow and mountains on a cloudy day
1873,a tall clock tower with a statue on top,clock tower with a bronze statue on top on a sunny day, statue with a statue hanging over at a monument on a city street
1874,a white toilet sitting next to a bath tub filled with paintings,someone put their art collection in their bath tub, someone with their eye open from a hummingbird sits in the bathtub
1875,a giraffe standing in the middle of a lush green field,a giraffe stands in the brush near trees, a squirrel stands on grass in a field
1876,a couple of signs that are on a street,two signs show a street is blocked and detoured, an older couple is looking at signs
1877,a made up dinner table with a flower vase on the table,a view of a table with a vase on the middle of it, a table with a table for the top of the table
1878,a group of skateboarders watching a skateboarder doing a trick in a skate park,a person riding a skate board on a skate park, a group of people watching someone
1879,a white plate topped with dicked up lettuce next to carrots,a cutting board with carrots and some other leafy green vegetables along side a knife, a cake with eggs and vegetables and an older man with a green shirt and glasses looks at it
1880,a large blue and yellow train stops near a fairly non urban train station,people are waiting beside the blue train pulling beside the platform, people are walking along the train station while the train passes
1881,a blond girl holding a baseball bat and smiling with her hand over her mouth,a girl with a baseball bat in the backyard smiles, a girl with a baseball bat holding the bat
1882,a young man pouring glasses of wine in a kitchen,the man is pouring a glass of wine and there are several others on the table, the man is pouring a glass of wine to the other people in the background
1883,a yellow dump truck driving past a forest,large work trucks sitting on the side of the street, orange truck driving through the back of the road
1884,a farmer s market filled with green bananas and people,an outdoor market place with a person shopping for bananas, an asian farmer in a market with many watermelons on it
1885,toys on a beach made to look like he military,a group of teddy bears are dressed in army outfits, a boy is playfully dressed in a pirate s outfit
1886,a man on a motorbike rides down the street,a policeman on a motorcycle leads the way in a parade, a motorcyclist on a motorcycle rides through the streets
1887,a two layer cake sitting on top of a table,a two layered cake sits on a table top, a cake sits upon a cake
1888,a kitchen table and chairs with greenery and tulips,a bright kitchen with tulips on the table and plants by the window, a table with blankets sits on the table with many people around
1889,a person wearing a towel is drying their hair with a hair dryer,a woman wearing a towel holding a blow dryer, a woman wearing an orange shirt is washing a hair
1890,a tall building with four double decker buses driving along a parking lot,two white double decker buses on a street, there is a packed parked
1891,the fire hydrant has on the side of the road,a fire hadrian that is out next to a house, a firefighter spraying the ground next to a fire hydrant
1892,a slice of brown cake possibly a carrot cake next to a slice of grapefruit,a slice of cake and a fork by sliced orange and a guinness, a cake is about to an egg
1893,a bus makes a splash in the heavy rain,a bus driving on a rain covered street, a bus driving in a rain covered in rain
1894,a group of people with one person holding up a huge different color umbrella,a beautiful red haired woman holding a colorful umbrella, several large people holding a large colorful umbrella
1895,a military plane parked in a hanger with a person sitting nearby,an air hanger with an old fighter plane inside, an aircraft vehicle with a british flag inside with an american flag
1896,a thin wine bottle sits on a table against a wall,a black and whit vase sitting on a small table, a brown cup with glasses sitting on a white table
1897,an elephant walking across a green grass covered field,an elephant walking on a grassy area during the day, an elephant walking through a field near the woods
1898,a skateboarder riding his board down the sidewalk,a young man riding a skateboard with red wheels, a young man riding a skateboard in the street
1899,a gold colored pair of scissors cutting into a piece of bejeweled fabric with other bejeweled items in the background,a pair of gold scissors laying on a bag of decorations, the scissors has two scissors are being cut
1900,a cat sprawled out over the top of a laptop computer keyboard,a black and white cat laying across the keyboard of a laptop, a cat in front of an calvin klein laptop is typing the keyboard
1901,a woman sitting down holding a spoon and in her hand and eating,a woman eating food at a table in a kitchen, a woman eating food at a table
1902,a stuffed white bear is on the bed with a person,a little white bear with black eyes and nose on a comforter, a stuffed white dog with its mouth open and is yawning
1903,a close up of a stop sign with two hand written notes taped to it,a red stop sign with paper with writing on top of it, a sign with sign written on it with people writing on it
1904,a roadside vendor sells food to passersby on the street,children stand in a street looking at a market stand, street vendor in a street looking at a food stand
1905,a bird that is sitting down on some water,a bird standing next to a large body of water, a bird sitting next to a body of water
1906,a person on a skate board is doing a trick,a man riding a skateboard up the side of a ramp, a skateboarder doing a trick on the side of a ramp
1907,a man sitting in the back of a truck,this veteran traveler is satisfied with the lift riding in the back of a pickup truck, older gentleman dressed as a van sits in the back of the truck with his truck
1908,a white plate topped with an icing and sauce covered dessert,a slice of cake with some syrup next to it, a plate of butter with its cheeseburger and a plate of lemons
1909,young boy swinging bat at a game with onlookers,a little boy in a blue shirt is playing baseball, a small boy in a baseball uniform is playing
1910,a group of people riding on a double decker bus on a bridge,a group of people riding a trolley being pulled by a horse, a group of people riding a tour along a bus
1911,a cat crouched on the edge of a porch,a cat sitting in a pouncing position next to a brick wall, a cat sitting on a porch next to a porch of a door
1912,a man riding a skateboard down a cement ramp,a person riding a skateboard on the side of the road, a person riding a skateboard on the side of the road
1913,a couple of boats sitting on top of a body of water,a small boat makes its way across the water on an overcast day, a large boat sits next to a body of water with mountains on the water
1914,food trucks are parked around small oval tables,people get a meal from outdoor food trucks, food at a crowded place a food stand with many food
1915,people watching soccer players in a form of a soccer game,someone kicking a soccer ball on the soccer field, players watching a soccer match on a soccer field
1916,a couple of guys that were eating and are now on their cell phones,a pair of men sitting at a table in a diner, two guys are sitting in a chair
1917,a close up of several wind kites hanging,a market area with many kites hanging from roof, a group of people hang out flying kites
1918,a cat sitting on top of a wooden desk,a black cat sitting on a table in front of a laptop, a cat sitting on a chair in front of a desk
1919,a horse standing in a field by a fence,a horse in a snowy paddock looking over the fence, a horse in a grassy field behind the fence
1920,twp cake pans sitting and cooling on the stove,a close up of two pots of food on a stove, some to be out of some kitchen
1921,a dog sits on a chair behind a glass,small dog sitting on display behind the window, dog with black spots on chair
1922,the group is working together each with a laptop,several students sit at a conference table with their laptops, several workers are working together on a laptop
1923,a woman with a weird looking face holding onto a cell phone,a picture of a man giving a thumps up with a cell phone in hand, a female with a long tattoo is checking a cellphone in her hand
1924,a woman playing a wii game with other people,this blonde woman is getting ready to play a game, this woman is enjoying her game at a game game
1925,a dog that is standing on a rug in a bathroom,the dog was standing in the bathroom near the sink and toilet, the dog stands in the bathroom with the bathroom behind him
1926,waves crashing on the shore with a surfer in the midst,a surfer in the middle of two waves that have crested, a surfer in the middle of a wave and catches it
1927,a cow sculpture with a tv sticking out of it s center,a tv mounted in a cow on a wall, a cow with a statue on a fence
1928,a man and a woman are posing for a picture in a kitchen,a man and a woman stand next to each other in a kitchen, a man and a woman pose and looking at something in the kitchen
1929,a person sitting on the floor constructing a white kite,a person crafting a kite around two sticks, a person seated atop a wooden and sand
1930,there is a group of kids holding computers on their laps,many children work on green and white laptop computers, several kids on red and white children play tug of war
1931,a group of sheep are being herded by a dog as people watch,a dog is herding sheep in a field, a group of dogs sheep in a crowd
1932,a view of mountains out of an airplane window,a large jetliner wing flying over a mountain range, a plane airplane has an airplane over a window
1933,a black and white photo of four elderly people sitting in a bench overlooking the ocean,a group of four elders sit on a park bench in front of the ocean, a large group of older people sit on the beach
1934,a lady that has a wii remote in her hand,several professionally dressed men watching a woman holding a wii controller, lady showing a powerpoint presentation holding a video camera
1935,a plate with a meal of meat potatoes carrots and broccoli,the meal features steak and potatoes on the plate, the cook cooks together and the chicken
1936,a rolling suitcase with smaller case attached to the handle of it,a small carry on bag strapped to the handle of a larger suitcase from the same set of luggage, a green object with its back to be broken out of the car
1937,a man with a tennis racket gets ready to swing his racket,a man who is playing tennis on a tennis court, a man in a black shirt swings his tennis racket
1938,a busy city intersection clogged with bike traffic,a crowded city street filled with motorcycle and car traffic, a busy city street filled with traffic and traffic
1939,a girl playing tennis with a bad knee,a tennis player in a knee brace gets ready to serve the ball, a female tennis player is hitting her racket in the air
1940,a cow staring into a camera standing on a field,a small group of cows standing in front of the camera, a white lab with a muzzle stands in front of the gate
1941,this is a grey cat laying down on a bed,a close up of a cat laying in a bed, a cat lies on a bed with a cat
1942,a diner named court order sitting on the side of a dirt road,the side of an old building is fenced off, the back of an outdoor cafe is being played
1943,a teddy bear and a stuffed monkey sit side by side,two stuffed animals a bear and a monkey, an elephant being stuffed a blanket
1944,a red bird pirched on a wooden ledge,a nice bird standing on a bench gazing at, a bird sitting on a branch branch at the beach
1945,a table topped with three trays filled with cakes and desserts,this table has cupcakes and cake on it, this table has plates and plates on the table
1946,a team of skiers rides intently across the snow,five skiers race each other on the snow, many skiers go down a hill
1947,a woman holding a cell phone and standing in a littered field with others,a person on her cell phone in a large crowd of people, a woman on a cellphone device in front of a large crowd
1948,a person showing a baby panda bear its bottle,the panda bear likes to walk in the grass, the infant likes to give his baby
1949,a snowboarder with black and white clothes finishing a run,a man on a snow board going down a snow covered hill, a man on a dirt track going down a snow covered hill
1950,a train heads down some tracks near a railroad crossing sign and a dirt road,a green white engine is pulling some gray train cars, a large yellow train is parked next to a railroad track
1951,a white horse pulling a wagon while stopped on the side of the road,a horse and carriage parked beside a building, a horse pulling onto a wagon
1952,a cat looks at a person holding a bottle,a cat is rinsed off with soap and aqua, a cat is staring from above two fingers and a bottle
1953,a group of people sitting in a park doing various things such as playing chess waiting for something with luggage or just relaxing,4 men play a game on a park bench, friends enjoying a game at a park bench
1954,a man standing on a beach while holding a white surfboard,a man standing at the beach with a surfboard and a paddle, a man standing on the beach is holding a surfboard
1955,a double decker bus is shown that is not in service,a double decker bus parked near a curb by trees, a double decker bus stopped by a window on a city street
1956,there is a boy playing frisbee in the grass,a boy is standing in a field playing frisbee, a boy is playing wearing a frisbee outside
1957,a couple of dishes are sitting on a stove,a close up of two pots of food on a stove, a couple and man out on a piece of food
1958,a cow is laying down with mouth open as if to say something,a close up of a brown and white cow in an enclosure, a cow and a big cow in front of a red box
1959,a woman sitting in a seat holding a cell phone,people in a meeting and a lady with a very nice phone, woman in a public place with a phone and a cellphone
1960,a collage of photos of plates and pans of food,four pictures showing the way a stew being cooked looks at various stages, an image of tomatoes from a buffet where the man is preparing to eat
1961,a group of people wading around a large body of water,several people are swimming in the ocean with two empty chairs and an umbrella on the beach, several people are wading in the water while standing next to a body of water
1962,an indoor farm area with cows in individual stations sitting and standing on hay,the cows are laying in their stalls in the barn, the farm is parked near the cows
1963,a group of friends playing a motion controlled video game,a group of people are gathered around at television playing wii, a group of people are gathered around at video playing video games
1964,this is a restaurant with flowers on the bar,a clear glass vase holding flowers in front of a mirror, a yellow restaurant filled with restaurants sitting on the table
1965,people are cooking on grills in a commercial kitchen,two men cooking in a stainless steel restaurant kitchen, several people cooking food in a commercial kitchen
1966,a woman checking her cell phone with a hello kitty case,the asian girl is holding her miss kitty phone, the lady is holding her cellphone phone
1967,a group of men riding horses on a beach,the group of friends is riding down the beach, the group of men riding the horses are riding
1968,a catcher with a catcher s mitt on squatting behind a baseball player,a man standing next to a base on a baseball field, a baseball player on a baseball team out to a base
1969,a cell phone on top of a calculator near a computer keyboard,a picture of a cell phone calculator and a computer, a computer has a laptop and computer
1970,some one who is sitting on the back of a park bench,a person is sitting on the back of a park bench, a person is sitting on the bench near a park
1971,a meal with a cheesy sandwich salad and water,a close up of a sandwich and vegetables on a plate, a cook and some food on a table
1972,a young boy dressed in yellow holding a pizza in a box,a boy with a fedora on holding a pizza box open, a boy with a red shirt around a plate of pizza
1973,a statue of a bear wearing a red ribbon,the large bear is made up of clay, a red lion looks at the red and yellow statue
1974,a herd of cattle walking down a street near lush green trees,a herd of cows walks down a city street, a cow drawn down a wagon in town
1975,a train is full of of passengers as it pulls off from the station,a white and red train at a train depot with passengers sitting inside, a group of people in orange vests are waiting for an train outside
1976,a man standing on a hillside next to a lake holding frisbee,a man standing by the ocean with something in his hand, a man standing by the shore with something in his hand
1977,a man sits at a table with a bunch of doughnuts,a plate of donuts on a tray sitting on a table in a bakery, a man sits on a stool near a table with a plate of food
1978,man with grey hair leading a cow with red ribbon,an old man walking a big brown cow around, man with a brown beard petting a brown cow
1979,a banana is on a plate with cookies and peanut butter,banana partly sliced peanut butter on a spoon and cookies, gumdrops adorn adorn adorn and a plate on top of a dessert
1980,a large long train with man inside on the track,man standing in a black train with red train in front, man sitting in a red and white train outside
1981,an image of a side symbol on a bus,the side view of a red vehicle with a logo sign on the side of it, the back of a bus with a sign saying on it and a red bus
1982,a public parking payment booth in a lot,the parking attendant is waiting for the fees to be paid, many people gather at a booth to be served by cars and storefronts
1983,several men standing next to a truck with it s hood open and a boat,three men are next to a car and a boat, several men are at a truck and a truck
1984,a stop sighn is propped up against the side of a building,a red stop sign sitting on the floor next to a wall, a man walking down a sidewalk next to the red building
1985,a herd of giraffe running across a field,a herd of giraffes are playing in a field, a golden retriever at a field of grass
1986,three people preparing to launch a small boat in a river,a blue boat is sitting in the water, three people are standing
1987,a fire hyrdant sitting on the sidewalk next to the road,there is a red fire hydrant with a chain that is attached to it, there is a man sitting by a fire hydrant
1988,a small child stands in the rain with an umbrella,a little girl holding an umbrella in the rain, a small kid with an umbrella standing in the rain
1989,two women walking on a train platform,this is an image of two women at a train station, two young women are walking on a train in front of a train station
1990,older woman in dress sitting on a park bench,an old woman sitting on a bench next to a fence, an old woman sitting on a bench on a park bench
1991,a building that has a large clock on it,a large building can be seen in the background with a clock on it s face, a large clock is set on top of a large building with people on it
1992,a housewife holds a platter of food in the kitchen,an old photo of a woman in the kitchen, an old lady in a kitchen
1993,a little girl puts her hand in a pasta dish,a young girl making a plate of food, a little girl putting a plate of food
1994,two giraffes walking next to each other,a pair of giraffes walking in an area between a rock and a tree, a brown dog walks with two other people on a leash
1995,people are boarding a bus parked at a stop,the bus stopped at the bus stop and people are getting in, people waiting at the bus stop for children at a bus
1996,a man gazes at an intricately designed clock with roman numerals,a man looking over an open mechanical clock, a man looking over an arrow
1997,two dishes holding a bunch of vegetables and fruit,a plastic bento box filled with rice vegetables and fresh fruit, two asian fruit fruits stand with two baskets of fruits and vegetables
1998,a white truck parked next to a white trailer,a wooden bench with an old tire sitting on it, a truck with an orange vest standing next to a truck
1999,a young person ridding a horse jumps a gate in a competition,there is a woman jockey riding a hose over the hurdle, an adult horse is jumping a horse over her horse
2000,man swinging tennis racket while group of people watches,a man is playing tennis on the court racket in hand, a man is playing tennis on the beach while people watch
2001,two people riding horses on the beach with waves coming in across the rocks on the shoreline,two people riding horses along the ocean beach, two people riding camels along the beach
2002,young man skate boarding on railing in urban setting,a man performs a trick on a skateboard over a rail, a man performs a trick on a rail over a city street
2003,a baseball player is getting ready for a pitch,a man is holding a baseball bat at a game, a man is holding a baseball bat at a baseball game
2004,a light blue bicycle chained to a pole on the sidewalk in front of a red building,a bicycle is locked to a lamp post in front of an old building, a bicycle is turned to a pole with graffiti outside in the background
2005,a bunch of people that are skiing on some snow,competitive skiers ski forward on a flat surface, crosscountry skiers down a snowy hill
2006,two giraffes grazing on some green leaves in the field,giraffes love the tender young leaves on trees, 2 rabbits lay on the grassy ground of grass
